eff_date,exp_date,renewal_date,pol_id,pol_year_id,policy_number,policy_status,type_code,policy_amount,annual_premium,deductible,limit_amount,party_id,agent_code,uw_id,term_length,cancelled_date,modified_date,create_date
2024-01-20,2025-01-20,2025-01-20,SI-001,SIY-001,POL-2024-001,Active,AUTO,50000,1200,500,100000,P1001,A001,UW01,12,,2024-01-20 10:30:00,2024-01-20 10:30:00
2024-02-05,2025-02-05,2025-02-05,SI-002,SIY-002,POL-2024-002,Active,HOME,75000,1800,1000,250000,P1002,A002,UW02,12,,2024-02-05 12:00:00,2024-02-05 12:00:00
2024-02-20,2025-02-20,2025-02-20,SI-003,SIY-003,POL-2024-003,Active,LIFE,200000,3500,0,500000,P1003,A001,UW01,12,,2024-02-20 15:00:00,2024-02-20 15:00:00
2024-03-05,2025-03-05,2025-03-05,SI-004,SIY-004,POL-2024-004,Active,AUTO,45000,1100,750,90000,P1004,A003,UW03,12,,2024-03-05 10:00:00,2024-03-05 10:00:00
2024-03-15,2025-03-15,2025-03-15,SI-005,SIY-005,POL-2024-005,Cancelled,HOME,60000,1500,500,200000,P1005,A002,UW02,12,2024-07-10,2024-07-10 17:30:00,2024-03-15 14:15:00
2024-04-05,2025-04-05,2025-04-05,SI-006,SIY-006,POL-2024-006,Active,AUTO,55000,1300,500,110000,P1001,A001,UW01,12,,2024-04-05 11:15:00,2024-04-05 11:15:00
2024-04-20,2025-04-20,2025-04-20,SI-007,SIY-007,POL-2024-007,Active,HOME,85000,2000,1000,300000,P1006,A004,UW04,12,,2024-04-20 16:00:00,2024-04-20 16:00:00
2024-05-05,2025-05-05,2025-05-05,SI-008,SIY-008,POL-2024-008,Active,LIFE,300000,5000,0,750000,P1007,A003,UW03,12,,2024-05-05 11:45:00,2024-05-05 11:45:00
2024-05-25,2025-05-25,2025-05-25,SI-009,SIY-009,POL-2024-009,Active,AUTO,48000,1150,500,95000,P1008,A005,UW05,12,,2024-05-25 15:30:00,2024-05-25 15:30:00
2024-06-05,2025-06-05,2025-06-05,SI-010,SIY-010,POL-2024-010,Active,HOME,70000,1700,750,225000,P1009,A002,UW02,12,,2024-06-05 10:15:00,2024-06-05 10:15:00
2024-06-20,2025-06-20,2025-06-20,SI-011,SIY-011,POL-2024-011,Active,AUTO,52000,1250,500,105000,P1010,A001,UW01,12,,2024-06-20 17:00:00,2024-06-20 17:00:00
2024-07-05,2025-07-05,2025-07-05,SI-012,SIY-012,POL-2024-012,Active,LIFE,250000,4200,0,600000,P1011,A004,UW04,12,,2024-07-05 11:00:00,2024-07-05 11:00:00
